"Indikator";"StartTatort";"StopTatort";"Rusningstimmar";"Lagtrafiktimmar"
"1.1";"Uppsala";"Stockholm";1;1
"1.1";"Uppsala";"Gävle";1;1
"1.1";"Uppsala";"Västerås";1;1
"1.2";"Uppsala";"Enköping";1;0,92
"1.2";"Uppsala";"Bålsta";1;1
"1.2";"Uppsala";"Sävja";1;0,92
"1.2";"Uppsala";"Knivsta";1;1
"1.2";"Uppsala";"Skutskär";1;0,92
"2.1";"Enköping";"Stockholm";1;1
"2.1";"Enköping";"Gävle";1;1
"2.1";"Enköping";"Västerås";1;1
"2.1";"Bålsta";"Stockholm";1;1
"2.1";"Bålsta";"Gävle";1;1
"2.1";"Bålsta";"Västerås";1;1
"2.1";"Sävja";"Stockholm";1;1
"2.1";"Sävja";"Gävle";1;1
"2.1";"Sävja";"Västerås";1;1
"2.1";"Knivsta";"Stockholm";1;1
"2.1";"Knivsta";"Gävle";1;1
"2.1";"Knivsta";"Västerås";1;0,92
"2.1";"Skutskär";"Stockholm";1;0,92
"2.1";"Skutskär";"Gävle";1;1
"2.1";"Skutskär";"Västerås";1;1
"2.2";"Enköping";"Bålsta";1;1
"2.2";"Enköping";"Sävja";1;1
"2.2";"Enköping";"Knivsta";1;1
"2.2";"Enköping";"Skutskär";1;1
"2.2";"Bålsta";"Enköping";1;1
"2.2";"Bålsta";"Sävja";1;1
"2.2";"Bålsta";"Knivsta";1;1
"2.2";"Bålsta";"Skutskär";1;1
"2.2";"Sävja";"Enköping";1;1
"2.2";"Sävja";"Bålsta";1;1
"2.2";"Sävja";"Knivsta";1;1
"2.2";"Sävja";"Skutskär";1;1
"2.2";"Knivsta";"Enköping";1;1
"2.2";"Knivsta";"Bålsta";1;1
"2.2";"Knivsta";"Sävja";1;1
"2.2";"Knivsta";"Skutskär";1;1
"2.2";"Skutskär";"Enköping";1;1
"2.2";"Skutskär";"Bålsta";1;1
"2.2";"Skutskär";"Sävja";1;1
"2.2";"Skutskär";"Knivsta";1;0,92
"3.1";"Heby";"Uppsala";1;0,92
"3.1";"Heby";"Stockholm";1;0,92
"3.1";"Heby";"Gävle";1;1
"3.1";"Heby";"Västerås";1;1
"3.1";"Tierp";"Uppsala";0,86;0,83
"3.1";"Tierp";"Stockholm";1;1
"3.1";"Tierp";"Gävle";1;1
"3.1";"Tierp";"Västerås";1;1
"3.1";"Älvkarleby";"Uppsala";1;0,92
"3.1";"Älvkarleby";"Stockholm";1;1
"3.1";"Älvkarleby";"Gävle";1;1
"3.1";"Älvkarleby";"Västerås";1;1
"3.2";"Heby";"Enköping";1;1
"3.2";"Heby";"Bålsta";1;1
"3.2";"Heby";"Sävja";1;1
"3.2";"Heby";"Knivsta";1;1
"3.2";"Heby";"Skutskär";1;1
"3.2";"Tierp";"Enköping";1;1
"3.2";"Tierp";"Bålsta";1;0,92
"3.2";"Tierp";"Sävja";0,71;0,92
"3.2";"Tierp";"Knivsta";0,86;0,92
"3.2";"Tierp";"Skutskär";1;1
"3.2";"Älvkarleby";"Enköping";1;0,92
"3.2";"Älvkarleby";"Bålsta";1;1
"3.2";"Älvkarleby";"Sävja";1;1
"3.2";"Älvkarleby";"Knivsta";1;1
"3.2";"Älvkarleby";"Skutskär";1;0,92
