TatortNamn;HplNamn;HplID
Alsike;Alsike skola;730012
Alunda;Alunda bussterminal;782018
Björklinge;Björklinge centrum;780024
Bålsta;Bålsta station;705003
Bålsta;Bålsta station (SL-pendeln);105112
Enköping;Enköpings station;781210
Enköping;Gustav adolfs plan;781002
Gimo;Gimo bussterminal;782014
Gävle;Gävle Central;480119
Gävle;Gävle Rådhuset;480334
Heby;Heby station;793051
Heby;Heby torg;793035
Knivsta;Knivsta station;780050
Skutskär;Skutskär station;719200
Skutskär;Skutskär centrum;719006
Stockholm;Stockholm city;191718
Storvreta;Storvreta station;780141
Storvreta;Storvreta centrum;700232
Sävja;Sävja kyrka;700358
Söderfors;Söderforsgatan;700370
Tierp;Tierp station;760005
Uppsala;Uppsala centralstation;700600
Älvkarleby;Älvkarleby station;719000
Älvkarleby;Älvkarleby kraftverk;719007
Örbyhus;Örbyhus station;760009
Öregrund;Öregrund färjeläget;782015
Örsundsbro;Örsundsbro centrum;781030
Österbybruk;Österbybruk bussterminal;782017
Östervåla;Östervåla busstation;793033
Östhammar;Östhammar busstation;782004
